current_handle,proposed_handle,current_url,new_url,redirect_required,swedish_detected,title,products_count,execute_phase,internal_references_impacted
dji-phantom-series,dji-phantom-series,/collections/dji-phantom-series,/collections/dji-phantom-series,NO,NO,DJI Phantom Serien,0,SKIP,
dji-rc-fjarrkontroller,dji-rc-remote-controls,/collections/dji-rc-fjarrkontroller,/collections/dji-rc-remote-controls,YES,YES,DJI RC – Smart fjärrkontroll,7,3,
dji-rc-pro-accessories,dji-rc-pro-accessories,/collections/dji-rc-pro-accessories,/collections/dji-rc-pro-accessories,NO,NO,DJI RC Pro Tillbehör – Optimera Din Fjärrkontroll,5,SKIP,
dronarelektronik-flight-components,drone-electronics-flight-components,/collections/dronarelektronik-flight-components,/collections/drone-electronics-flight-components,YES,YES,Reservdelar & Komponenter för DJI & FPV,175,3,main-menu → Elektronik & flight components; main-menu → :[];Elektronik & flight components
dronarmatta-landning-protection,drone-mat-landing-protection,/collections/dronarmatta-landning-protection,/collections/drone-mat-landing-protection,YES,YES,Landningsmattor Drönare – Säker & Stabil Flygning,21,3,
drone-accessories-buy,drone-accessories-buy,/collections/drone-accessories-buy,/collections/drone-accessories-buy,NO,NO,Drönartillbehör: Filter för bättre flygfotografering,615,SKIP,
drone-accessories-drone,drone-accessories-drone,/collections/drone-accessories-drone,/collections/drone-accessories-drone,NO,NO,Drönartillbehör Dronar för Optimal Flygning,374,SKIP,
drone-backpack-bags,drone-backpack-bags,/collections/drone-backpack-bags,/collections/drone-backpack-bags,NO,NO,Robust drönarryggsäck för säker transport av din drönare,203,SKIP,
drone-fjarrkontrollstillbehor,drone-remote-control-accessories,/collections/drone-fjarrkontrollstillbehor,/collections/drone-remote-control-accessories,YES,YES,Drönar - fjärrkontrollstillbehör,32,3,
drone-kameror,drone-cameras,/collections/drone-kameror,/collections/drone-cameras,YES,YES,Professionella Drönar kameror för Flygfoto,3,3,
drone-propellers-quiet,drone-propellers-quiet,/collections/drone-propellers-quiet,/collections/drone-propellers-quiet,NO,NO,Hållbara drönarpropellrar för optimal flygning och prestanda,128,SKIP,
drone-spare-parts-other,drone-spare-parts-other,/collections/drone-spare-parts-other,/collections/drone-spare-parts-other,NO,NO,Drönare reservdelar: Allt för din drönarreparation,5,SKIP,
drones-actionking,drones-actionking,/collections/drones-actionking,/collections/drones-actionking,NO,NO,Drönare,47,SKIP,
drones-propellers-accessories,drones-propellers-accessories,/collections/drones-propellers-accessories,/collections/drones-propellers-accessories,NO,NO,Drönare Propeller Tillbehör för Optimal Flygning,366,SKIP,
drones-with-camera,drones-with-camera,/collections/drones-with-camera,/collections/drones-with-camera,NO,NO,Drönare med kamera,47,SKIP,
drones-with-varmekamera,drones-with-thermal-camera,/collections/drones-with-varmekamera,/collections/drones-with-thermal-camera,YES,YES,Drönare med värmekamera,30,3,
energy-infrastructure,energy-infrastructure,/collections/energy-infrastructure,/collections/energy-infrastructure,NO,NO,Energi & Infrastruktur,2,SKIP,
enterprise-accessories,enterprise-accessories,/collections/enterprise-accessories,/collections/enterprise-accessories,NO,NO,Enterprise Tillbehör,32,SKIP,
enterprise-belysning,enterprise-lighting,/collections/enterprise-belysning,/collections/enterprise-lighting,YES,YES,Enterprise belysning,13,3,
enterprise-drone-accessories,enterprise-drone-accessories,/collections/enterprise-drone-accessories,/collections/enterprise-drone-accessories,NO,NO,Professionella Enterprise drönartillbehör,77,SKIP,
enterprise-drones,enterprise-drones,/collections/enterprise-drones,/collections/enterprise-drones,NO,NO,Enterprise Drönare för Industri och Inspektion,19,SKIP,
enterprise-hogtalarsystem,enterprise-speaker-systems,/collections/enterprise-hogtalarsystem,/collections/enterprise-speaker-systems,YES,YES,Enterprise Högtalarsystem,23,3,
enterprise-lyftsystem,enterprise-lifting-systems,/collections/enterprise-lyftsystem,/collections/enterprise-lifting-systems,YES,YES,Enterprise Lyftsystem,5,3,
enterprise-propellers,enterprise-propellers,/collections/enterprise-propellers,/collections/enterprise-propellers,NO,NO,Enterprise Propellrar,1,SKIP,
enterprise-sensorer,enterprise-sensors,/collections/enterprise-sensorer,/collections/enterprise-sensors,YES,YES,Enterprise Sensorer,20,3,main-menu → Sensors & Payloads; main-menu → :[];Sensors & Payloads
enterprise-service-drones,enterprise-service-drones,/collections/enterprise-service-drones,/collections/enterprise-service-drones,NO,NO,Enterprise Service för Företagsdrönare,4,SKIP,
filter-drones-lins,filter-drones-lins,/collections/filter-drones-lins,/collections/filter-drones-lins,NO,NO,Filter drönare: Skydda din lins med premium glasfilter,261,SKIP,
filters-for-drones,filters-for-drones,/collections/filters-for-drones,/collections/filters-for-drones,NO,NO,Filter till Drönare för Optimal Bildkvalitet,252,SKIP,
fjarrkontroll-drones,remote-control-drones,/collections/fjarrkontroll-drones,/collections/remote-control-drones,YES,YES,Fjärrkontroll drönare: Precision & kontroll för din flygning,10,3,
gopro-accessories-vendors,gopro-accessories-vendors,/collections/gopro-accessories-vendors,/collections/gopro-accessories-vendors,NO,NO,Hitta pålitliga GoPro tillbehör vendors här,228,SKIP,
gopro-hero13-bag,gopro-hero13-bag,/collections/gopro-hero13-bag,/collections/gopro-hero13-bag,NO,NO,GoPro Hero13 väska – Skydda din actionkamera tryggt,610,SKIP,
gopro-hero13-black-protection,gopro-hero13-black-protection,/collections/gopro-hero13-black-protection,/collections/gopro-hero13-black-protection,NO,NO,GoPro Hero13 Black skydd - Skydda din GoPro Hero13 Black med rätt skyd,476,SKIP,
inspektionsdronare,inspection-drones,/collections/inspektionsdronare,/collections/inspection-drones,YES,YES,Inspektionsdrönare,4,3,main-menu → Branschlösningar; main-menu → Inspektion; main-menu → :[]];Branschlösningar; main-menu → :[Inspektion
ji-mini-5-pro-filter,ji-mini-5-pro-filter,/collections/ji-mini-5-pro-filter,/collections/ji-mini-5-pro-filter,NO,NO,DJI Mini 5 Pro filter,0,SKIP,
jordbruksdronare,agriculture-drones,/collections/jordbruksdronare,/collections/agriculture-drones,YES,YES,Jordbruksdrönare,4,3,main-menu → Jordbruk; main-menu → :[];Jordbruk
kamerakablar-actionking,kameracables-actionking,/collections/kamerakablar-actionking,/collections/kameracables-actionking,YES,YES,Kamerakablar för Optimal Prestanda,12,3,
kapor-for-drones,covers-for-drones,/collections/kapor-for-drones,/collections/covers-for-drones,YES,YES,Högkvalitativa Kåpor till Drönare,158,3,
kartlaggnings-and-matdronare,mapping-survey-drones,/collections/kartlaggnings-and-matdronare,/collections/mapping-survey-drones,YES,YES,Kartläggnings- och mätdrönare,26,3,
landningsstall-drones,landing-gear-drones,/collections/landningsstall-drones,/collections/landing-gear-drones,YES,YES,Landningsställ till drönare – Stabil och säker landning,42,3,
last-and-transportdronare,cargo-transport-drones,/collections/last-and-transportdronare,/collections/cargo-transport-drones,YES,YES,Last- och transportdrönare,54,3,
master-airscrew-dji-propellers,master-airscrew-dji-propellers,/collections/master-airscrew-dji-propellers,/collections/master-airscrew-dji-propellers,NO,NO,Master Airscrew DJI propellrar – Tysta & Effektiva,42,SKIP,
memory-card-storage,memory-card-storage,/collections/memory-card-storage,/collections/memory-card-storage,NO,NO,Minneskort & Lagring,0,SKIP,
mounts-adaptrar-action-cameras,mounts-adapters-action-cameras,/collections/mounts-adaptrar-action-cameras,/collections/mounts-adapters-action-cameras,YES,YES,Universal Fästen och Adaptrar till actionkameror,5,3,
multiverktyg-friluftsliv,multi-tools-outdoor,/collections/multiverktyg-friluftsliv,/collections/multi-tools-outdoor,YES,YES,Multiverktyg friluftsliv: Kompakt & Mångsidigt Äventyrsverktyg,14,3,
pgytech-accessories,pgytech-accessories,/collections/pgytech-accessories,/collections/pgytech-accessories,NO,NO,Pgytech Tillbehör för Kreativa Skapare,3,SKIP,
pincetter-actionking,tweezers-actionking,/collections/pincetter-actionking,/collections/tweezers-actionking,YES,YES,Pincetter,1,3,
polarpro,polarpro,/collections/polarpro,/collections/polarpro,NO,NO,Polarpro,428,SKIP,main-menu → PolarPro; main-menu → :[];PolarPro
propeller-guard-1,propeller-guard-1,/collections/propeller-guard-1,/collections/propeller-guard-1,NO,NO,Robusta Propellerskydd för Säkrare Drönarflygning,56,SKIP,
protection-drones,protection-drones,/collections/protection-drones,/collections/protection-drones,NO,NO,"Skydd till drönare: Propeller, Gimbal & Skal – Skydda din drönare!",53,SKIP,
repair-dji-neo-spare-parts,repair-dji-neo-spare-parts,/collections/repair-dji-neo-spare-parts,/collections/repair-dji-neo-spare-parts,NO,NO,Reparation DJI Neo – Fixa din drönare snabbt och enkelt!,4,SKIP,
reparera-precisionsverktyg-elektronik,repair-precision-tools-electronics,/collections/reparera-precisionsverktyg-elektronik,/collections/repair-precision-tools-electronics,YES,YES,Precisionsverktyg Elektronik: Reparera kamera & drönare enkelt,36,3,
skogsbruksdronare,forestry-drones,/collections/skogsbruksdronare,/collections/forestry-drones,YES,YES,Skogsbruksdrönare,1,3,main-menu → Skogsbruk; main-menu → :[];Skogsbruk
skruvmejsel-set,screwdriver-set,/collections/skruvmejsel-set,/collections/screwdriver-set,YES,YES,Skruvmejsel Set – Precisionsverktyg för Alla Behov,6,3,
spare-parts-gimbal-drones-motorer,spare-parts-gimbal-drones-motors,/collections/spare-parts-gimbal-drones-motorer,/collections/spare-parts-gimbal-drones-motors,YES,YES,Reservdelar Gimbal Drönare: Gimbalmotorer för Optimal Stabilisering,171,3,
tanger-actionking,pliers-actionking,/collections/tanger-actionking,/collections/pliers-actionking,YES,YES,Tänger Action: Precision och Styrka,1,3,
tillbehorskablar-drones,accessory-cables-drones,/collections/tillbehorskablar-drones,/collections/accessory-cables-drones,YES,YES,Kablar till drönare,10,3,
transport-logistics,transport-logistics,/collections/transport-logistics,/collections/transport-logistics,NO,NO,Transport & Logistik,2,SKIP,
usb-kablar-usb-c-for-usb-c,usb-cables-usb-c-for-usb-c,/collections/usb-kablar-usb-c-for-usb-c,/collections/usb-cables-usb-c-for-usb-c,YES,YES,Kraftfulla USB-kablar USB-C till USB-C,23,3,
vendors-q-sunnylife,vendors-q-sunnylife,/collections/vendors-q-sunnylife,/collections/vendors-q-sunnylife,NO,NO,Sunnylife: Köp vattentäta kameraskydd & actionkamera tillbehör,377,SKIP,
waterproof-kameraskydd,waterproof-camera-protection,/collections/waterproof-kameraskydd,/collections/waterproof-camera-protection,YES,YES,Vattentätt kameraskydd för kamera & drönare,141,3,
current_handle,proposed_handle,taxonomy_pillar,action,merge_into,products_count,swedish_detected,current_url,proposed_url,title
_test-collection-delete-me,(exclude),Support,EXCLUDE,,0,NO,/collections/_test-collection-delete-me,(exclude),TEST Collection Delete Me
accessories-dji-air-3s,accessories-dji-air-3s,Accessories,KEEP,,13,NO,/collections/accessories-dji-air-3s,/collections/accessories-dji-air-3s,Tillbehör DJI Air 3S - Tillbehör för DJI Air 3S: Komplettera din dröna
accessories-dji-air-series,accessories-dji-air-series,Accessories,KEEP,,12,NO,/collections/accessories-dji-air-series,/collections/accessories-dji-air-series,Tillbehör till DJI Air-Serien – Uppgradera din drönare idag!
accessories-dji-avata-series,accessories-dji-avata-series,Accessories,KEEP,,14,NO,/collections/accessories-dji-avata-series,/collections/accessories-dji-avata-series,DJI Avata tillbehör: FPV-drönarutrustning för proffs & nybörjare
accessories-dji-inspire,accessories-dji-inspire,Accessories,KEEP,,0,NO,/collections/accessories-dji-inspire,/collections/accessories-dji-inspire,DJI Inspire Tillbehör
accessories-dji-mavic-2,accessories-dji-mavic-2,Accessories,KEEP,,4,NO,/collections/accessories-dji-mavic-2,/collections/accessories-dji-mavic-2,Tillbehör DJI Mavic 2: Utrustning för din drönare
accessories-dji-mavic-3-cine,accessories-dji-mavic-3-cine,Accessories,KEEP,,10,NO,/collections/accessories-dji-mavic-3-cine,/collections/accessories-dji-mavic-3-cine,Tillbehör DJI Mavic 3 Cine för optimal prestanda
accessories-dji-mavic-drones,accessories-dji-mavic-drones,Accessories,KEEP,,2,NO,/collections/accessories-dji-mavic-drones,/collections/accessories-dji-mavic-drones,dji mavic 3e - Tillbehör för DJI Mavic Drönare
accessories-dji-mini-2-2-se,accessories-dji-mini-2-2-se,Accessories,KEEP,,47,NO,/collections/accessories-dji-mini-2-2-se,/collections/accessories-dji-mini-2-2-se,Tillbehör DJI Mini 2 / 2 SE - Tillbehör för DJI Mini
accessories-dji-mini-4,accessories-dji-mini-4,Accessories,KEEP,,18,NO,/collections/accessories-dji-mini-4,/collections/accessories-dji-mini-4,DJI Mini 3 Tillbehör: Utforska drönarens fulla potential
accessories-dji-mini-4-series,accessories-dji-mini-4-series,Accessories,KEEP,,3,NO,/collections/accessories-dji-mini-4-series,/collections/accessories-dji-mini-4-series,Tillbehör till DJI Mini 4-serien – Maxa din drönarupplevelse!
accessories-dji-neo,accessories-dji-neo,Accessories,KEEP,,20,NO,/collections/accessories-dji-neo,/collections/accessories-dji-neo,DJI Neo tillbehör – Batteri & mer för optimal flygning
accessories-for-dji-air-3-series,accessories-for-dji-air-3-series,Accessories,KEEP,,14,NO,/collections/accessories-for-dji-air-3-series,/collections/accessories-for-dji-air-3-series,Tillbehör till DJI AIR 3-Serien
airdrop-system,airdrop-system,Accessories,KEEP,,24,NO,/collections/airdrop-system,/collections/airdrop-system,Airdrop System
all-products,all-products,Drones,KEEP,,841,NO,/collections/all-products,/collections/all-products,Alla produkter Drönare
amagisn-kameratillbehor-and-dronarutrustning,amagisn-camera-accessories-and-drone-equipment,Brands,RENAME,,149,YES,/collections/amagisn-kameratillbehor-and-dronarutrustning,/collections/amagisn-camera-accessories-and-drone-equipment,kameratillbehör - AMagisn Tillbehör för Kamera och Drönare
bandverktyg,precision-tools,Spare Parts,RENAME,,2,YES,/collections/bandverktyg,/collections/precision-tools,Bändverktyg för Precisionsreparationer
batteries,batteries,Accessories,KEEP,,64,NO,/collections/batteries,/collections/batteries,Batterier och laddare
belysning-for-drones,drone-lighting,Accessories,RENAME,,28,YES,/collections/belysning-for-drones,/collections/drone-lighting,Belysning till drönare
brdrc-accessories,brdrc-accessories,Brands,KEEP,,134,NO,/collections/brdrc-accessories,/collections/brdrc-accessories,Kompletta BRDRC Tillbehör för Din Utrustning
camera-tripod-stand,camera-tripod-stand,Accessories,KEEP,,86,NO,/collections/camera-tripod-stand,/collections/camera-tripod-stand,Kamerastativ & Tripod – Stabilt Mobil- och Kamerastativ
cleaning-products-actionking,(exclude),Support,EXCLUDE,,18,NO,/collections/cleaning-products-actionking,(exclude),Rengörning för elektronik
dij-air-3-series,dji-air-3-series,Drones,MERGE,dji-air-3-series,3,NO,/collections/dij-air-3-series,/collections/dji-air-3-series,DJI Air 3-Serien för Professionell Flygfotografering
dji,dji-drones,Drones,MERGE,dji-drones,84,NO,/collections/dji,/collections/dji-drones,DJI: Innovation inom Drönarteknik
dji-agras-drones,dji-agras-drones,Enterprise,KEEP,,4,NO,/collections/dji-agras-drones,/collections/dji-agras-drones,DJI Agras Drönare för Precisionsjordbruk
dji-agras-t40,dji-agras-t40,Enterprise,KEEP,,2,NO,/collections/dji-agras-t40,/collections/dji-agras-t40,DJI Agras T40
dji-agras-t50,dji-agras-t50,Enterprise,KEEP,,3,NO,/collections/dji-agras-t50,/collections/dji-agras-t50,DJI Agras T50
dji-air-2-accessories,dji-air-2-accessories,Accessories,KEEP,,3,NO,/collections/dji-air-2-accessories,/collections/dji-air-2-accessories,Högkvalitativa DJI Air 2 Tillbehör för Drönare
dji-air-2-series,dji-air-2-series,Drones,KEEP,,1,NO,/collections/dji-air-2-series,/collections/dji-air-2-series,DJI Air 2 Serien: Drönare och Tillbehör
dji-air-2s,dji-air-2s,Drones,KEEP,,1,NO,/collections/dji-air-2s,/collections/dji-air-2s,DJI Air 2S
dji-air-2s-accessories,dji-air-2s-accessories,Accessories,KEEP,,0,NO,/collections/dji-air-2s-accessories,/collections/dji-air-2s-accessories,DJI Air 2S Tillbehör – Optimerad Flygning
dji-air-3,dji-air-3,Drones,KEEP,,3,NO,/collections/dji-air-3,/collections/dji-air-3,DJI AIR 3
dji-air-3-accessories,dji-air-3-accessories,Accessories,KEEP,,201,NO,/collections/dji-air-3-accessories,/collections/dji-air-3-accessories,DJI Air 3 — Tillbehör
dji-air-3-accessories-comprehensive-range,dji-air-3-accessories-comprehensive-range,Accessories,KEEP,,66,NO,/collections/dji-air-3-accessories-comprehensive-range,/collections/dji-air-3-accessories-comprehensive-range,Omfattande Sortiment av DJI Air 3 Tillbehör
dji-air-3-antenner,dji-air-3-antennas,Spare Parts,RENAME,,131,YES,/collections/dji-air-3-antenner,/collections/dji-air-3-antennas,DJI Air 3 — Antenner
dji-air-3-armar,dji-air-3-arms,Spare Parts,RENAME,,267,YES,/collections/dji-air-3-armar,/collections/dji-air-3-arms,DJI Air 3 — Armar
dji-air-3-batteries,dji-air-3-batteries,Spare Parts,KEEP,,482,NO,/collections/dji-air-3-batteries,/collections/dji-air-3-batteries,DJI Air 3 — Batterier
dji-air-3-gimbal,dji-air-3-gimbal,Spare Parts,KEEP,,323,NO,/collections/dji-air-3-gimbal,/collections/dji-air-3-gimbal,DJI Air 3 — Gimbal
dji-air-3-kablar,dji-air-3-cables,Spare Parts,RENAME,,713,YES,/collections/dji-air-3-kablar,/collections/dji-air-3-cables,DJI Air 3 — Kablar
dji-air-3-kameror,dji-air-3-cameras,Spare Parts,RENAME,,1165,YES,/collections/dji-air-3-kameror,/collections/dji-air-3-cameras,DJI Air 3 — Kameror
dji-air-3-landningsstall,dji-air-3-landing-gear,Spare Parts,RENAME,,160,YES,/collections/dji-air-3-landningsstall,/collections/dji-air-3-landing-gear,DJI Air 3 — Landningsställ
dji-air-3-motorer,dji-air-3-motors,Spare Parts,RENAME,,245,YES,/collections/dji-air-3-motorer,/collections/dji-air-3-motors,DJI Air 3 — Motorer
dji-air-3-propellers,dji-air-3-propellers,Spare Parts,KEEP,,327,NO,/collections/dji-air-3-propellers,/collections/dji-air-3-propellers,DJI Air 3 — Propellrar
dji-air-3-sensorer,dji-air-3-sensors,Drones,RENAME,,147,YES,/collections/dji-air-3-sensorer,/collections/dji-air-3-sensors,DJI Air 3 — Sensorer
dji-air-3-skal,dji-air-3-shell,Spare Parts,RENAME,,345,YES,/collections/dji-air-3-skal,/collections/dji-air-3-shell,DJI Air 3 — Skal
dji-air-3-spare-parts,dji-air-3-spare-parts,Drones,KEEP,,127,NO,/collections/dji-air-3-spare-parts,/collections/dji-air-3-spare-parts,DJI Air 3 — Reservdelar
dji-air-3s,dji-air-3s,Drones,KEEP,,2,NO,/collections/dji-air-3s,/collections/dji-air-3s,DJI Air 3S
dji-air-series,dji-air-series,Drones,KEEP,,6,NO,/collections/dji-air-series,/collections/dji-air-series,DJI AIR-serien
dji-avata-2-accessories,dji-avata-2-accessories,Accessories,KEEP,,51,NO,/collections/dji-avata-2-accessories,/collections/dji-avata-2-accessories,DJI Avata 2 tillbehör – Skydd & batterier till din drönare
dji-avata-accessories,dji-avata-accessories,Accessories,KEEP,,6,NO,/collections/dji-avata-accessories,/collections/dji-avata-accessories,DJI Avata Tillbehör
dji-avata-pro-fpv-drones,dji-avata-pro-fpv-drones,Drones,KEEP,,2,NO,/collections/dji-avata-pro-fpv-drones,/collections/dji-avata-pro-fpv-drones,Avata Pro FPV-Drönare – Nästa Generations Flygning
dji-avata-series,dji-avata-series,Drones,KEEP,,2,NO,/collections/dji-avata-series,/collections/dji-avata-series,DJI Avata-Serien
dji-dock-2,dji-dock-2,Enterprise,KEEP,,1,NO,/collections/dji-dock-2,/collections/dji-dock-2,DJI Dock 2
dji-dock-3,dji-dock-3,Enterprise,KEEP,,1,NO,/collections/dji-dock-3,/collections/dji-dock-3,DJI Dock 3
dji-drone-spare-parts,dji-drone-spare-parts,Drones,KEEP,,16,NO,/collections/dji-drone-spare-parts,/collections/dji-drone-spare-parts,Hitta DJI-drönar reservdelar av hög kvalitet
dji-drones,dji-drones,Drones,KEEP,,22,NO,/collections/dji-drones,/collections/dji-drones,DJI Drönare
dji-drones-fjarrkontroller,dji-drones-remote-controls,Drones,RENAME,,7,YES,/collections/dji-drones-fjarrkontroller,/collections/dji-drones-remote-controls,Fjärrkontroller och Tillbehör för DJI Drönare
dji-enterprise-fjarrkontroller,dji-enterprise-remote-controls,Enterprise,RENAME,,22,YES,/collections/dji-enterprise-fjarrkontroller,/collections/dji-enterprise-remote-controls,Professionella Fjärrkontroller för DJI Enterprise
dji-flip-accessories,dji-flip-accessories,Accessories,KEEP,,63,NO,/collections/dji-flip-accessories,/collections/dji-flip-accessories,DJI Flip™ tillbehör – Optimal utrustning till din drönare
dji-flip-battery-accessories,dji-flip-battery-accessories,Accessories,KEEP,,3,NO,/collections/dji-flip-battery-accessories,/collections/dji-flip-battery-accessories,Optimala DJI Flip tillbehör – Maxa din drönarupplevelse!
dji-flip-drones,dji-flip-drones,Drones,KEEP,,3,NO,/collections/dji-flip-drones,/collections/dji-flip-drones,DJI Flip: Kompakta Vikbara Drönare
dji-flycart-100-lastdronare,dji-flycart-100-cargo-drones,Enterprise,RENAME,,2,YES,/collections/dji-flycart-100-lastdronare,/collections/dji-flycart-100-cargo-drones,DJI FlyCart 100: Lastdrönare för Tunga Lyft
dji-flycart-30,dji-flycart-30,Enterprise,KEEP,,2,NO,/collections/dji-flycart-30,/collections/dji-flycart-30,DJI FlyCart 30
dji-flycart-30-batteries,dji-flycart-30-batteries,Spare Parts,KEEP,,370,NO,/collections/dji-flycart-30-batteries,/collections/dji-flycart-30-batteries,DJI FlyCart 30 — Batterier
dji-flycart-30-spare-parts,dji-flycart-30-spare-parts,Enterprise,KEEP,,2,NO,/collections/dji-flycart-30-spare-parts,/collections/dji-flycart-30-spare-parts,DJI FlyCart 30 — Reservdelar
dji-flycart-series,dji-flycart-series,Enterprise,KEEP,,2,NO,/collections/dji-flycart-series,/collections/dji-flycart-series,DJI FlyCart Serien
dji-fpv-accessories,dji-fpv-accessories,Accessories,KEEP,,1,NO,/collections/dji-fpv-accessories,/collections/dji-fpv-accessories,Dji FPV Tillbehör – Optimera Din Flygning Med Kvalitet
dji-inspire,dji-inspire,Enterprise,KEEP,,0,NO,/collections/dji-inspire,/collections/dji-inspire,DJI Inspire Serien Professionella Drönare för Kreatörer
dji-inspire-series,dji-inspire-series,Enterprise,KEEP,,0,NO,/collections/dji-inspire-series,/collections/dji-inspire-series,DJI Inspire Serien
dji-marvic-enterprise,dji-marvic-enterprise,Enterprise,KEEP,,1,NO,/collections/dji-marvic-enterprise,/collections/dji-marvic-enterprise,DJI Marvic Enterprise
dji-matrice-3-series,dji-matrice-3-series,Enterprise,KEEP,,22,NO,/collections/dji-matrice-3-series,/collections/dji-matrice-3-series,DJI Matrice 4 Serien
dji-matrice-30-serie-accessories,dji-matrice-30-series-accessories,Accessories,RENAME,,9,YES,/collections/dji-matrice-30-serie-accessories,/collections/dji-matrice-30-series-accessories,dji arm - DJI Matrice 30 Serie Tillbehör
dji-matrice-300-rtk,dji-matrice-300-rtk,Enterprise,KEEP,,2,NO,/collections/dji-matrice-300-rtk,/collections/dji-matrice-300-rtk,DJI Matrice 300 RTK
dji-matrice-350-rtk-accessories,dji-matrice-350-rtk-accessories,Accessories,KEEP,,8,NO,/collections/dji-matrice-350-rtk-accessories,/collections/dji-matrice-350-rtk-accessories,DJI Matrice 350 RTK Tillbehör och Skydd
dji-matrice-350-rtk-antenner,dji-matrice-350-rtk-antennas,Spare Parts,RENAME,,17,YES,/collections/dji-matrice-350-rtk-antenner,/collections/dji-matrice-350-rtk-antennas,DJI Matrice 350 RTK — Antenner
dji-matrice-350-rtk-batteries,dji-matrice-350-rtk-batteries,Spare Parts,KEEP,,374,NO,/collections/dji-matrice-350-rtk-batteries,/collections/dji-matrice-350-rtk-batteries,DJI Matrice 350 RTK — Batterier
dji-matrice-350-rtk-rtk,dji-matrice-350-rtk,Enterprise,MERGE,dji-matrice-350-rtk,28,NO,/collections/dji-matrice-350-rtk-rtk,/collections/dji-matrice-350-rtk,DJI Matrice 350 RTK — RTK
dji-matrice-350-rtk-spare-parts,dji-matrice-350-rtk-spare-parts,Enterprise,KEEP,,5,NO,/collections/dji-matrice-350-rtk-spare-parts,/collections/dji-matrice-350-rtk-spare-parts,DJI Matrice 350 RTK — Reservdelar
dji-matrice-3d,dji-matrice-3d,Enterprise,KEEP,,2,NO,/collections/dji-matrice-3d,/collections/dji-matrice-3d,DJI Matrice 3D
dji-matrice-3td,dji-matrice-3td,Enterprise,KEEP,,1,NO,/collections/dji-matrice-3td,/collections/dji-matrice-3td,DJI Matrice 3TD
dji-matrice-4-accessories,dji-matrice-4-accessories,Accessories,KEEP,,15,NO,/collections/dji-matrice-4-accessories,/collections/dji-matrice-4-accessories,DJI Matrice 4 Tillbehör för Professionella Drönare
dji-matrice-4-batteries,dji-matrice-4-batteries,Spare Parts,KEEP,,387,NO,/collections/dji-matrice-4-batteries,/collections/dji-matrice-4-batteries,DJI Matrice 4 — Batterier
dji-matrice-4-gimbal,dji-matrice-4-gimbal,Spare Parts,KEEP,,233,NO,/collections/dji-matrice-4-gimbal,/collections/dji-matrice-4-gimbal,DJI Matrice 4 — Gimbal
dji-matrice-4-kablar,dji-matrice-4-cables,Spare Parts,RENAME,,618,YES,/collections/dji-matrice-4-kablar,/collections/dji-matrice-4-cables,DJI Matrice 4 — Kablar
dji-matrice-4-kameror,dji-matrice-4-cameras,Spare Parts,RENAME,,1075,YES,/collections/dji-matrice-4-kameror,/collections/dji-matrice-4-cameras,DJI Matrice 4 — Kameror
dji-matrice-4-propellers,dji-matrice-4-propellers,Spare Parts,KEEP,,242,NO,/collections/dji-matrice-4-propellers,/collections/dji-matrice-4-propellers,DJI Matrice 4 — Propellrar
dji-matrice-4-rtk,dji-matrice-4-rtk,Enterprise,KEEP,,47,NO,/collections/dji-matrice-4-rtk,/collections/dji-matrice-4-rtk,DJI Matrice 4 — RTK
dji-matrice-4-serie,dji-matrice-4-series,Enterprise,RENAME,,22,YES,/collections/dji-matrice-4-serie,/collections/dji-matrice-4-series,dji matrice 4 Serie
dji-matrice-4-spare-parts,dji-matrice-4-spare-parts,Enterprise,KEEP,,21,NO,/collections/dji-matrice-4-spare-parts,/collections/dji-matrice-4-spare-parts,DJI Matrice 4 — Reservdelar
dji-matrice-400-series,dji-matrice-400-series,Enterprise,KEEP,,9,NO,/collections/dji-matrice-400-series,/collections/dji-matrice-400-series,DJI Matrice 400 Serien för Professionella Uppdrag
dji-matrice-series,dji-matrice-series,Enterprise,KEEP,,32,NO,/collections/dji-matrice-series,/collections/dji-matrice-series,DJI Matrice-serien – Professionella Enterprise-drönare
dji-mavic-2-pro,dji-mavic-2-pro,Drones,KEEP,,1,NO,/collections/dji-mavic-2-pro,/collections/dji-mavic-2-pro,DJI Mavic 2 Pro
dji-mavic-2-series,dji-mavic-2-series,Drones,KEEP,,2,NO,/collections/dji-mavic-2-series,/collections/dji-mavic-2-series,DJI Mavic 2-serien: Avancerade Drönare
dji-mavic-3-accessories,dji-mavic-3-accessories,Accessories,KEEP,,66,NO,/collections/dji-mavic-3-accessories,/collections/dji-mavic-3-accessories,DJI Mavic 3 Tillbehör för Optimal Prestanda
dji-mavic-3-cine-drones,dji-mavic-3-cine-drones,Drones,KEEP,,1,NO,/collections/dji-mavic-3-cine-drones,/collections/dji-mavic-3-cine-drones,DJI Mavic 3 Cine: Ultimata Drönaren för Filmskapare
dji-mavic-3-classic,dji-mavic-3-classic,Drones,KEEP,,15,NO,/collections/dji-mavic-3-classic,/collections/dji-mavic-3-classic,Tillbehör DJI Mavic 3 Classic
dji-mavic-3-enterprise,dji-mavic-3-enterprise,Enterprise,KEEP,,5,NO,/collections/dji-mavic-3-enterprise,/collections/dji-mavic-3-enterprise,DJI Mavic 3 Enterprise - Kvalitet &
